,biofilm,percent_wrinkled,n_spokes,median_spokes_length,median_dist_center,mutant,day,color
0,4133_4_1,2.65,1,61.032778078668514,53.0,4133,4,0
1,4133_4_10,3.28,0,,,4133,4,0
2,4133_4_11,3.95,2,51.6270631985296,118.0,4133,4,0
3,4133_4_12,3.43,2,55.04649384407076,152.5,4133,4,0
4,4133_4_13,4.44,1,51.24451190127583,144.0,4133,4,0
5,4133_4_14,3.92,3,57.21887800367987,156.0,4133,4,0
6,4133_4_15,3.33,2,55.39220724384631,143.0,4133,4,0
7,4133_4_16,4.62,3,56.08029957123981,10.0,4133,4,0
8,4133_4_17,5.4,3,81.09870529176159,158.0,4133,4,0
9,4133_4_18,3.76,1,64.00781202322104,139.0,4133,4,0
10,4133_4_19,4.14,0,,,4133,4,0
11,4133_4_2,3.29,3,65.03076195155643,142.0,4133,4,0
12,4133_4_20,3.55,0,,,4133,4,0
13,4133_4_21,3.85,0,,,4133,4,0
14,4133_4_22,4.05,0,,,4133,4,0
15,4133_4_23,5.57,1,53.75872022286245,23.0,4133,4,0
16,4133_4_24,4.57,2,54.73202241433438,117.0,4133,4,0
17,4133_4_25,3.82,0,,,4133,4,0
18,4133_4_26,3.36,0,,,4133,4,0
19,4133_4_27,5.24,6,56.847061181658376,43.0,4133,4,0
20,4133_4_28,4.0,1,67.11929677819934,36.0,4133,4,0
21,4133_4_29,4.77,0,,,4133,4,0
22,4133_4_3,3.03,0,,,4133,4,0
23,4133_4_30,5.14,6,70.07200410541446,72.5,4133,4,0
24,4133_4_31,3.24,4,68.23928997584693,62.0,4133,4,0
25,4133_4_32,3.75,0,,,4133,4,0
26,4133_4_33,4.72,4,68.77635346549317,53.0,4133,4,0
27,4133_4_34,4.44,3,61.00819617067857,61.0,4133,4,0
28,4133_4_35,5.16,1,60.07495318350236,148.0,4133,4,0
29,4133_4_36,5.2,2,55.09525541114821,121.5,4133,4,0
30,4133_4_4,2.39,0,,,4133,4,0
31,4133_4_5,2.74,1,66.61080993352356,133.0,4133,4,0
32,4133_4_6,2.25,1,62.03224967708329,166.0,4133,4,0
33,4133_4_7,3.75,0,,,4133,4,0
34,4133_4_8,3.41,1,56.32051136131489,0.0,4133,4,0
35,4133_4_9,4.06,3,56.0,165.0,4133,4,0
36,4133_5_1,7.16,16,67.25971837091052,138.0,4133,5,0
37,4133_5_10,11.38,17,71.0,135.0,4133,5,0
38,4133_5_11,10.83,26,69.57158599676085,161.0,4133,5,0
39,4133_5_12,10.54,14,81.99418565341132,174.5,4133,5,0
40,4133_5_13,9.53,16,64.77723433963229,145.5,4133,5,0
41,4133_5_14,11.22,32,77.08433006407776,141.0,4133,5,0
42,4133_5_15,11.25,46,72.62653505464712,134.5,4133,5,0
43,4133_5_16,11.29,23,63.00793600809346,161.0,4133,5,0
44,4133_5_17,11.86,24,64.0624390837628,93.5,4133,5,0
45,4133_5_18,11.07,32,61.40043160069091,147.0,4133,5,0
46,4133_5_19,9.77,20,67.22335924869543,159.0,4133,5,0
47,4133_5_2,7.63,13,60.00833275470999,142.0,4133,5,0
48,4133_5_20,11.45,45,67.26812023536856,148.0,4133,5,0
49,4133_5_21,11.79,42,71.5347574005464,151.5,4133,5,0
50,4133_5_22,12.77,43,72.02777242147643,155.0,4133,5,0
51,4133_5_23,12.37,18,79.92045908542602,182.5,4133,5,0
52,4133_5_24,11.49,16,80.58900759347745,141.5,4133,5,0
53,4133_5_25,8.15,14,62.89777562340973,122.5,4133,5,0
54,4133_5_26,10.69,20,72.61026620750837,154.0,4133,5,0
55,4133_5_27,11.41,30,71.00352095215347,145.5,4133,5,0
56,4133_5_28,12.4,11,67.60177512462228,136.0,4133,5,0
57,4133_5_29,11.26,19,62.0,163.0,4133,5,0
58,4133_5_3,10.44,16,71.14222235123881,144.5,4133,5,0
59,4133_5_30,11.56,29,66.12110101926616,131.0,4133,5,0
60,4133_5_31,9.45,11,77.0,130.0,4133,5,0
61,4133_5_32,5.77,5,66.0,171.0,4133,5,0
62,4133_5_33,9.68,16,64.45517462408944,99.5,4133,5,0
63,4133_5_34,12.94,32,69.23473297179675,139.0,4133,5,0
64,4133_5_35,10.56,29,76.53103945458993,142.0,4133,5,0
65,4133_5_36,10.13,23,67.47592163134935,178.0,4133,5,0
66,4133_5_4,10.86,29,67.02984409947557,151.0,4133,5,0
67,4133_5_5,9.78,26,82.12490030062932,137.0,4133,5,0
68,4133_5_6,7.81,12,59.58894771221755,155.5,4133,5,0
69,4133_5_7,7.96,13,68.3593446428504,168.0,4133,5,0
70,4133_5_8,8.46,10,69.52892424963841,193.5,4133,5,0
71,4133_5_9,9.82,20,64.39217549301381,147.0,4133,5,0
72,cco1cco2_4_1,3.55,0,,,cco1cco2,4,1
73,cco1cco2_4_10,3.51,0,,,cco1cco2,4,1
74,cco1cco2_4_11,3.71,0,,,cco1cco2,4,1
75,cco1cco2_4_12,4.15,0,,,cco1cco2,4,1
76,cco1cco2_4_13,3.36,0,,,cco1cco2,4,1
77,cco1cco2_4_14,4.2,0,,,cco1cco2,4,1
78,cco1cco2_4_15,3.41,0,,,cco1cco2,4,1
79,cco1cco2_4_16,3.42,0,,,cco1cco2,4,1
80,cco1cco2_4_17,3.25,0,,,cco1cco2,4,1
81,cco1cco2_4_18,3.64,0,,,cco1cco2,4,1
82,cco1cco2_4_19,3.98,0,,,cco1cco2,4,1
83,cco1cco2_4_2,4.07,0,,,cco1cco2,4,1
84,cco1cco2_4_20,3.81,2,63.73936797862632,126.5,cco1cco2,4,1
85,cco1cco2_4_21,3.64,0,,,cco1cco2,4,1
86,cco1cco2_4_22,3.75,0,,,cco1cco2,4,1
87,cco1cco2_4_23,3.83,0,,,cco1cco2,4,1
88,cco1cco2_4_24,3.45,0,,,cco1cco2,4,1
89,cco1cco2_4_25,3.97,0,,,cco1cco2,4,1
90,cco1cco2_4_26,3.88,0,,,cco1cco2,4,1
91,cco1cco2_4_27,3.86,0,,,cco1cco2,4,1
92,cco1cco2_4_28,3.64,0,,,cco1cco2,4,1
93,cco1cco2_4_29,3.59,0,,,cco1cco2,4,1
94,cco1cco2_4_3,3.76,0,,,cco1cco2,4,1
95,cco1cco2_4_30,3.9,0,,,cco1cco2,4,1
96,cco1cco2_4_31,2.76,0,,,cco1cco2,4,1
97,cco1cco2_4_32,4.0,0,,,cco1cco2,4,1
98,cco1cco2_4_33,3.73,0,,,cco1cco2,4,1
