,label,gene,days,biofilm_number,perc_wrinkle,n_lines
0,4133_1_1,4133,1,1,96.46,0
1,4133_1_10,4133,1,10,97.86,0
2,4133_1_11,4133,1,11,97.67,0
3,4133_1_12,4133,1,12,96.98,0
4,4133_1_13,4133,1,13,97.79,0
5,4133_1_14,4133,1,14,97.23,0
6,4133_1_15,4133,1,15,96.22,0
7,4133_1_16,4133,1,16,97.76,0
8,4133_1_17,4133,1,17,97.21,0
9,4133_1_18,4133,1,18,97.18,0
10,4133_1_19,4133,1,19,97.42,0
11,4133_1_2,4133,1,2,95.84,0
12,4133_1_20,4133,1,20,97.2,0
13,4133_1_21,4133,1,21,97.51,0
14,4133_1_22,4133,1,22,97.58,0
15,4133_1_23,4133,1,23,97.59,0
16,4133_1_24,4133,1,24,97.4,0
17,4133_1_25,4133,1,25,97.55,0
18,4133_1_26,4133,1,26,97.48,0
19,4133_1_27,4133,1,27,96.67,0
20,4133_1_28,4133,1,28,97.42,0
21,4133_1_29,4133,1,29,97.3,0
22,4133_1_3,4133,1,3,97.37,0
23,4133_1_30,4133,1,30,97.32,0
24,4133_1_31,4133,1,31,95.21,0
25,4133_1_32,4133,1,32,96.35,0
26,4133_1_33,4133,1,33,96.52,0
27,4133_1_34,4133,1,34,97.14,0
28,4133_1_35,4133,1,35,97.02,0
29,4133_1_36,4133,1,36,97.21,0
30,4133_1_4,4133,1,4,97.66,0
31,4133_1_5,4133,1,5,97.48,0
32,4133_1_6,4133,1,6,96.77,0
33,4133_1_7,4133,1,7,97.5,0
34,4133_1_8,4133,1,8,96.95,0
35,4133_1_9,4133,1,9,97.14,0
36,4133_2_1,4133,2,1,93.47,0
37,4133_2_10,4133,2,10,93.74,0
38,4133_2_11,4133,2,11,94.77,0
39,4133_2_12,4133,2,12,95.85,0
40,4133_2_13,4133,2,13,92.29,0
41,4133_2_14,4133,2,14,92.37,0
42,4133_2_15,4133,2,15,94.73,0
43,4133_2_16,4133,2,16,94.43,0
44,4133_2_17,4133,2,17,95.32,0
45,4133_2_18,4133,2,18,96.17,0
46,4133_2_19,4133,2,19,91.75,0
47,4133_2_2,4133,2,2,96.72,0
48,4133_2_20,4133,2,20,92.93,0
49,4133_2_21,4133,2,21,93.61,0
50,4133_2_22,4133,2,22,94.56,0
51,4133_2_23,4133,2,23,95.39,0
52,4133_2_24,4133,2,24,94.64,0
53,4133_2_25,4133,2,25,94.01,0
54,4133_2_26,4133,2,26,92.78,0
55,4133_2_27,4133,2,27,92.85,0
56,4133_2_28,4133,2,28,94.76,0
57,4133_2_29,4133,2,29,94.45,0
58,4133_2_3,4133,2,3,93.27,0
59,4133_2_30,4133,2,30,95.77,0
60,4133_2_31,4133,2,31,96.21,0
61,4133_2_32,4133,2,32,92.8,0
62,4133_2_33,4133,2,33,96.81,0
63,4133_2_34,4133,2,34,92.44,0
64,4133_2_35,4133,2,35,94.07,0
65,4133_2_36,4133,2,36,93.98,0
66,4133_2_4,4133,2,4,93.2,0
67,4133_2_5,4133,2,5,94.58,0
68,4133_2_6,4133,2,6,95.36,0
69,4133_2_7,4133,2,7,92.56,0
70,4133_2_8,4133,2,8,95.82,0
71,4133_2_9,4133,2,9,93.57,0
72,4133_3_1,4133,3,1,90.22,0
73,4133_3_10,4133,3,10,87.24,0
74,4133_3_11,4133,3,11,88.51,0
75,4133_3_12,4133,3,12,91.08,0
76,4133_3_13,4133,3,13,86.62,0
77,4133_3_14,4133,3,14,85.37,0
78,4133_3_15,4133,3,15,86.95,0
79,4133_3_16,4133,3,16,87.12,0
80,4133_3_17,4133,3,17,88.74,0
81,4133_3_18,4133,3,18,90.33,0
82,4133_3_19,4133,3,19,86.27,0
83,4133_3_2,4133,3,2,91.75,0
84,4133_3_20,4133,3,20,86.1,0
85,4133_3_21,4133,3,21,85.05,0
86,4133_3_22,4133,3,22,85.89,0
87,4133_3_23,4133,3,23,87.5,0
88,4133_3_24,4133,3,24,86.67,0
89,4133_3_25,4133,3,25,85.82,1
90,4133_3_26,4133,3,26,84.95,0
91,4133_3_27,4133,3,27,86.16,0
92,4133_3_28,4133,3,28,87.91,0
93,4133_3_29,4133,3,29,86.74,0
94,4133_3_3,4133,3,3,86.18,0
95,4133_3_30,4133,3,30,87.72,0
96,4133_3_31,4133,3,31,92.09,0
97,4133_3_32,4133,3,32,86.68,0
98,4133_3_33,4133,3,33,89.48,0
99,4133_3_34,4133,3,34,84.24,0
100,4133_3_35,4133,3,35,86.64,0
101,4133_3_36,4133,3,36,88.39,0
102,4133_3_4,4133,3,4,87.5,0
103,4133_3_5,4133,3,5,88.4,0
104,4133_3_6,4133,3,6,87.73,0
105,4133_3_7,4133,3,7,87.32,0
106,4133_3_8,4133,3,8,88.54,5
107,4133_3_9,4133,3,9,88.19,0
108,4133_4_1,4133,4,1,90.17,0
109,4133_4_10,4133,4,10,11.17,0
110,4133_4_11,4133,4,11,10.47,0
111,4133_4_12,4133,4,12,10.42,0
112,4133_4_13,4133,4,13,8.49,0
113,4133_4_14,4133,4,14,10.4,0
114,4133_4_15,4133,4,15,12.21,0
115,4133_4_16,4133,4,16,12.19,0
116,4133_4_17,4133,4,17,10.88,0
117,4133_4_18,4133,4,18,10.96,0
118,4133_4_19,4133,4,19,9.92,0
119,4133_4_2,4133,4,2,6.64,0
120,4133_4_20,4133,4,20,12.27,0
121,4133_4_21,4133,4,21,15.51,0
122,4133_4_22,4133,4,22,12.07,0
123,4133_4_23,4133,4,23,11.48,0
124,4133_4_24,4133,4,24,13.16,0
125,4133_4_25,4133,4,25,7.12,0
126,4133_4_26,4133,4,26,12.2,0
127,4133_4_27,4133,4,27,12.68,0
128,4133_4_28,4133,4,28,13.58,0
129,4133_4_29,4133,4,29,12.28,0
130,4133_4_3,4133,4,3,9.95,0
131,4133_4_30,4133,4,30,12.35,0
132,4133_4_31,4133,4,31,87.54,0
133,4133_4_32,4133,4,32,10.63,0
134,4133_4_33,4133,4,33,8.79,0
135,4133_4_34,4133,4,34,16.19,0
136,4133_4_35,4133,4,35,10.9,0
137,4133_4_36,4133,4,36,10.92,0
138,4133_4_4,4133,4,4,87.01,0
139,4133_4_5,4133,4,5,9.49,0
140,4133_4_6,4133,4,6,86.4,0
141,4133_4_7,4133,4,7,8.71,0
142,4133_4_8,4133,4,8,8.13,0
143,4133_4_9,4133,4,9,9.81,0
144,4133_5_1,4133,5,1,87.06,2
145,4133_5_10,4133,5,10,12.97,0
146,4133_5_11,4133,5,11,13.17,0
147,4133_5_12,4133,5,12,12.72,0
148,4133_5_13,4133,5,13,10.41,0
149,4133_5_14,4133,5,14,12.7,0
150,4133_5_15,4133,5,15,14.52,8
151,4133_5_16,4133,5,16,13.86,0
152,4133_5_17,4133,5,17,14.4,0
153,4133_5_18,4133,5,18,14.32,0
154,4133_5_19,4133,5,19,12.11,0
155,4133_5_2,4133,5,2,9.91,1
156,4133_5_20,4133,5,20,13.96,0
157,4133_5_21,4133,5,21,14.98,0
158,4133_5_22,4133,5,22,15.5,0
159,4133_5_23,4133,5,23,13.74,0
160,4133_5_24,4133,5,24,13.1,0
161,4133_5_25,4133,5,25,8.86,22
162,4133_5_26,4133,5,26,11.28,0
163,4133_5_27,4133,5,27,11.61,0
164,4133_5_28,4133,5,28,13.34,0
165,4133_5_29,4133,5,29,13.33,0
166,4133_5_3,4133,5,3,13.24,0
167,4133_5_30,4133,5,30,15.08,0
168,4133_5_31,4133,5,31,11.52,0
169,4133_5_32,4133,5,32,85.75,12
170,4133_5_33,4133,5,33,10.34,1
171,4133_5_34,4133,5,34,14.84,0
172,4133_5_35,4133,5,35,12.69,0
